2,20
13570,12780,11720,11490,11170,10610,9530,7880,6140,5630,5380,4470,3930,3410,1370,1150,1150,530,530,530
12410,11680,11430,11430,10850,10360,7810,6400,6400,5820,5510,5480,5250,2730,960,700,700,700,700,470
13810,13810,10540,10040,10040,10040,10040,7250,7200,5960,5720,4920,4770,3860,3860,3010,1170,640,370,370
12230,11940,11890,10410,10410,7900,7380,6440,6440,6160,4280,2880,1560,1510,730,730,730,440,440,400
14150,12190,12190,11310,10690,9480,9180,7160,7120,6180,5950,5950,4050,4010,3490,3490,3170,2690,960,450
12260,11530,10720,8790,6780,5980,5750,5670,5630,4590,4370,3880,3880,3880,3150,2950,2700,1060,600,600
13870,13010,12420,12150,11820,9710,9380,9330,5970,5970,4720,4450,3820,3770,3770,2900,2900,690,380,380
13720,13040,12490,9170,9170,8330,8090,7820,6740,6690,6420,4300,4300,4300,2080,2080,1590,1070,530,530
12720,10970,10720,9050,9050,7330,7330,7080,6540,6290,6290,5670,3840,3840,2670,940,890,630,590,340
14410,13620,13110,11110,10010,8180,8180,7550,7550,6690,5290,5180,5180,4840,2590,1990,1990,1720,1230,310
14410,14410,12820,12820,12600,10290,10290,6540,6060,6060,4940,4670,4440,3860,3860,290,290,250,250,250
14410,13540,12760,11600,9850,9600,8900,8680,8680,5530,1250,1250,1250,990,720,720,720,720,520,290
13380,11670,11190,10940,9620,9360,8840,8800,6570,6570,5500,5500,2870,1170,680,640,640,640,640,420
13730,12510,12510,12510,9730,9730,9730,9730,7310,3900,3050,2150,2150,1540,940,670,620,620,390,390
14410,13910,12910,12660,11610,11380,8810,8510,8510,8270,7650,5860,2360,2360,2360,2360,2140,1880,690,430
14370,14370,12590,12350,9790,9790,9790,8710,6870,6780,6260,3860,3360,3140,3140,3140,3140,690,690,420
12050,10740,10230,8910,7100,6530,5990,5870,5870,4050,4050,3760,3760,3760,1620,1100,1100,670,440,440
11100,8920,8300,8300,7690,7480,7250,6980,6710,6660,6140,6140,5910,5120,4350,2020,1410,1140,420,420
10640,10640,6640,6640,6180,5690,4800,4530,4480,4250,4250,2220,1990,1990,1190,1190,710,450,400,400
13720,12100,10930,10220,8320,6060,4610,4570,2780,2780,2220,1700,1700,1700,1700,1460,1460,1460,440,440
14160,11620,11080,9880,9880,9830,8830,8780,8200,7910,5850,5330,5330,5330,4630,4370,690,690,440,440
10790,9180,9180,9180,9180,7130,6860,6860,6860,6860,5870,5170,2450,2450,2450,2450,2450,2450,2360,320
